"City","State","First Name","Last Name ","Publication Date","Agent"
"Lebanon","Ohio","T","Benford","02-28-1844","local"
"Massillon","Ohio","J","Thompson","02-28-1844","local"
"Barnesville","Ohio","A","Harper  ","02-28-1844","local"
"Oberlin","Ohio","A","Jones","02-28-1844","local"
"Lower Sandusky","Ohio","A","Winfield","02-28-1844","local"
"Lockbourne","Ohio","E C","Tyner","02-28-1844","local"
"Morgan county","Ohio","Lloyd E","Guy","02-28-1844","local"
"Putnam","Ohio","J","Thomas","02-28-1844","local"
"New York City","New York","C B","Ray","02-28-1844","local"
"Troy","New York","H H","Garnett","02-28-1844","local"
"Utica","New York","T","Woodson","02-28-1844","local"
"Geneva","New York","J W","Duffin","02-28-1844","local"
"Rochester","New York","J","Sharp","02-28-1844","local"
"Batavia","New York","W","Johnson","02-28-1844","local"
"Brockport","New York","A","Peck","02-28-1844","local"
"Lockport","New York","A","Outley","02-28-1844","local"
"Buffalo","New York","W W","Brown","02-28-1844","local"
"Boston","Mass","J T","Hilton","02-28-1844","local"
"Pittsburg","Pennsylvania","B","Vashoo","02-28-1844","local"
"Madison","Indiana","A","Duncan","02-28-1844","local"
"Indianapolis","Indiana","J G","Bretton","02-28-1844","local"
"Detroit","Michigan","R","Banks","02-28-1844","local"
"Piketon","Ohio","W","Evans","02-28-1844","local"
"Richmond","Ohio","C","Oston","02-28-1844","local"
"Sharonville","Ohio","D","Lucus","02-28-1844","local"
"Cincinnati","Ohio","Rev C","Satchel","02-28-1844","traveling"
"Springfield","Ohio","Rev T","Roberts","02-28-1844","traveling"
"Zanesville","Ohio","Rev Geo","Coleman","02-28-1844","traveling"
"Sardinia","Ohio","Rev E","Cumberland","02-28-1844","traveling"
"Xenia","Ohio","Rev D","Winslow","02-28-1844","traveling"
"Logan co","Ohio","Rev M T","Nusum","02-28-1844","traveling"
"Hamilton","Ohio","Rev W C","Yancy","02-28-1844","traveling"
"Massillon","Ohio","Rev J","Thomas","02-28-1844","traveling"
"Columbus","Ohio","Rev W","Shelton","02-28-1844","traveling"
"Mt Pleasant","Ohio","Rey W","Numan","02-28-1844","traveling"
"Jackson co","Ohio","Rev T","Woodson","02-28-1844","traveling"
"Cincinnati","Ohio","A M","Sumner","02-21-1844","local"
"Springfield","Ohio","R","Piles","02-21-1844","local"
"Urbana","Ohio","A","Kane","02-21-1844","local"
"Chillicothe","Ohio","James","Leach","02-21-1844","local"
"U Moody","Ohio","J","Burnett","02-21-1844","local"
"Lancaster","Ohio","N","Smith","02-21-1844","local"
"Zanesville","Ohio","H","Nusum","02-21-1844","local"
"Hillsboro","Ohio","N","Tailor","02-21-1844","local"
"Newark","Ohio","H","Robinson","02-21-1844","local"
"Cleveland","Ohio","J L","Watson","02-21-1844","local"
"Logan County","Ohio","Sen K","Artis Jr","02-21-1844","local"
