LOCAL AGENTS,Date,Agent
"Indianopolis, Ia. 3 G Bretton.",07-03-1844,local
"Detroit, Mich --R Banks, WoC Monroe.",07-03-1844,local
Piketon—--W Evans.,07-03-1844,local
"Richmond, Ross co. C Osten,",07-03-1844,local
"Sharonville--D) Lucus, © Smith, W Polson.",07-03-1844,local
"Miami co, ‘V. Anderson, R. Sanith.",07-03-1844,local
"Vanwerteo. UW, Taylor.",07-03-1844,local
Shelby co. W Galloway A N Redmon,07-03-1844,local
"Champaign co. D, Lancaster.",07-03-1844,local
"Crairford co, A, Allen.",07-03-1844,local
"New Albany, Ind.—G W Carter, —",07-03-1844,local
Mercer co. Rev. S Joues,07-03-1844,local
Licking co. ES. Bailes,07-03-1844,local
Madisonco. C Lewis,07-03-1844,local
"Cincinnati, Rev. C, Satchel, Rev. M. M Clark,",07-03-1844,traveling
"warding, Rev. E. Cumberland, Rev. 8. Vox.",07-03-1844,traveling
"Logan ca, Rev. MT. Nusum.",07-03-1844,traveling
"Himilton. Rev. WoC Yancey,",07-03-1844,traveling
"Massitlon, Rev. J. Vhomas,",07-03-1844,traveling
"aM, Pleasent. Rev. W. Newmen.",07-03-1844,traveling
"Jackson ca, Rev. ‘I’. Woodson.",07-03-1844,traveling
"Cincinnati W W Watson, A M Sunrer, W ol Yaney.",07-10-1844,local
"“Hh milion, Butler co.—H Simpson.",07-10-1844,local
"Dayton, 7, FE, Jeflerson.",07-10-1844,local
"Spring field W. Piles,",07-10-1844,local
"_Urbana--L Adams,",07-10-1844,local
"Chillicothe‘ J Burnett, James Leach.",07-10-1844,local
"Circleville H Glastpy. G Sn Lup,",07-10-1844,local
"Lincaster S Smith N Smith,",07-10-1844,local
"Zuancseille |. Martin U Nusum, W Gusaway",07-10-1844,local
"Millsboro J Tailor, N ‘Tailor.",07-10-1844,local
"Warren, Trumble co-—A Day",07-10-1844,local
Steubenville W Ferris.,07-10-1844,local
"Newark—W Senkins, G W Roots",07-10-1844,local
"Clerecland J Malvin, J L Watson, R DP Kenney.",07-10-1844,local
"Dublin S White, jr.",07-10-1844,local
"'Yenia W > Robests,",07-10-1844,local
"Logan County-- D. D. Day. K Attis, jr,",07-10-1844,local
Mt. Vernon—O Martin.,07-10-1844,local
» Trenton Jeffirson co.—J Simpson.,07-10-1844,local
"Ut. PleasantogElijah Sawyer,",07-10-1844,local
Warren—A ®Yoore.,07-10-1844,local
"Gallipolis—Il W Bell, J Gee,",07-10-1844,local
"Jackson—N Nukes, T Woodson.",07-10-1844,local
Lebanon—T’ Benford.,07-10-1844,local
‘Mussillon—J § Thompson.,07-10-1844,local
BarnesvillemA Harper.,07-10-1844,local
"Obcrlin—A ‘Jones, 'I' Fisher",07-10-1844,local
Lower Sandusky A Winfield.,07-10-1844,local
Morgan eounty—Lloyd E Guy.,07-10-1844,local
Putaum—J ‘Vhomas.,07-10-1844,local
"| Lerrehaute lu—E, Roy.",07-10-1844,local
Lafayette la.—§ B Webster.,07-10-1844,local
Granville O. ‘T’ Walker.,07-10-1844,local
Madison Ia.—A Duncan.,07-10-1844,local
"Indianopolis, Ia. J G Bretton.",07-10-1844,local
"Detroit, Mich.--R Banks, WW C Monroe.",07-10-1844,local
"Piketon~-W Evang,",07-10-1844,local
"Richmond, Ross co. C Oston,",07-10-1844,local
"Sharonville—D Lucus, C Smuh, W> Polson.",07-10-1844,local
"Miami co. '’. Anderson, R. Smith.",07-10-1844,local
"Vanwertco. UH, Taylor.",07-10-1844,local
Shelby co. H Galloway A N Redmon,07-10-1844,local
Champaign co. D. Lancaster.,07-10-1844,local
"Crawford co, A, Allen",07-10-1844,local
"Neve Albany, Ind.—G Ww Curter,.",07-10-1844,local
Mercer co. Rev. § Jones,07-10-1844,local
Licking co. F J Bailes.,07-10-1844,local
"Madison co, C Lewis.",07-10-1844,local
"Cincinnati, Rev. C. Satchel, Rey. M. M.Clark.",07-10-1844,traveling
"wardina, Rey. E, Cumberland, Rev. S. lox.",07-10-1844,traveling
"Logan ce, Rev. M 'T’, Nusum,",07-10-1844,traveling
"Hamilton. Rey. W. C Yancy,",07-10-1844,traveling
"Massillon, Rey. J, Thomas.",07-10-1844,traveling
"Mt, Pleasant, Rey. W. Newmon.",07-10-1844,traveling
Jackson co. Rev. T. Woodson.,07-10-1844,traveling
"Cincinnati W W Watson, A M Sumter,W oT Yanev.",07-17-1844,local
"Hamilton, Butler co.—t1 Simpson.",07-17-1844,local
"Dayton, O. T. Jefferson.",07-17-1844,local
"Springfield W. Piles,",07-17-1844,local
"Urbana--L Adams,",07-17-1844,local
"Chillicothe J Burnett, James Leach.",07-17-1844,local
Cirelerile U Glasspy. G Stanup.,07-17-1844,local
"Lancaster S Smuh Smith, ;",07-17-1844,local
"Zanesville 1 Martin i Nusum, W Gasaway",07-17-1844,local
"(Hillsboro) J Tailor, N ‘Tailor.",07-17-1844,local
"Warren, Trumble co-—A Day",07-17-1844,local
Steubenville W Ferris.,07-17-1844,local
"| Newark—W Jenkins, G W Roots",07-17-1844,local
"Cleveland J Malvin, J L Watson, & D Kenney.",07-17-1844,local
"Dublin S Waite, jr.",07-17-1844,local
NXNenia W Roberts.,07-17-1844,local
"Logan County--D. D. Day, K Artis, jr,",07-17-1844,local
Mr. Vernon—O Martin.,07-17-1844,local
Trqggon Jefferson co.— J Simpson.,07-17-1844,local
Mt? Pleasant--Vilijalg Sawyer.,07-17-1844,local
Warrcen—A Moore :,07-17-1844,local
"Gallipolis—l1 W Bell, J Gee,",07-17-1844,local
"Juckson—N Nukes, T Woodson.",07-17-1844,local
| Lebanon—T Benford.,07-17-1844,local
| Mussillon—J S Thompson.,07-17-1844,local
Barnesrille—A Warper.,07-17-1844,local
"\Obcrlin—A Jones, T Fisher",07-17-1844,local
Lower Sandusky A Winfield.,07-17-1844,local
Morgan county—\loyd E Guy.,07-17-1844,local
Putnua—J Vhomas.,07-17-1844,local
"Terrchaute la—E, Roy,",07-17-1844,local
Lafayette la.— 8 B Webster.,07-17-1844,local
Granville O. ‘Tl’ Walker. 4,07-17-1844,local
Madison Ia.—A Duncan.,07-17-1844,local
"Indianopolis, la. JG Bretton.",07-17-1844,local
"Detroit, Mich --R Banks, WoC Monroe.",07-17-1844,local
Piketon--W Evans.,07-17-1844,local
"| Richmond, Ross co. C Oston,",07-17-1844,local
"| Sharonvillce--D Lucus, © Smith, W Polson.",07-17-1844,local
"| Miami co, 'T. Anderson, R. Smith.",07-17-1844,local
| Vanwertco. HW. Taylor.,07-17-1844,local
i Shelby co. Wl Galloway A N Redmon,07-17-1844,local
‘Champaign co. D. Lancaster.,07-17-1844,local
"Crawford co. A, Allen.",07-17-1844,local
"New Albany, Ind.—G W Carter,",07-17-1844,local
Mercer co. Rev. S Jones,07-17-1844,local
Licking co. F J Bailes,07-17-1844,local
Madison co. C Lewis,07-17-1844,local
"Cincinnati, Rev. C, Satchel, Rev. M.M Clark.",07-17-1844,traveling
"vardina, Rev. E. Cumberland, Rev. S. Vox.",07-17-1844,traveling
"Loganca, Rev. M ‘I. Nusum,",07-17-1844,traveling
Hamilton. Rev. W. C Yancy.,07-17-1844,traveling
Massillon. Rev. J. Thomas.,07-17-1844,traveling
"Mi, Pleasant, Rev. W. Newmon.",07-17-1844,traveling
"Jackson co, Rev. ‘I’, Woodson.",07-17-1844,traveling
"Cincinnati W W Watson, A M Sumner,W Tl Yaney.",08-14-1844,local
"Hamilton, Butler co.—l Simyson,",08-14-1844,local
"Dayton, O.. T. Jefferson.",08-14-1844,local
"Springfield W. Viles,",08-14-1844,local
"Urbana--L Adams,",08-14-1844,local
"Chillicothe J Burnett, James Leach.",08-14-1844,local
Circleville U Glasspy. G Stanup.,08-14-1844,local
"Lancaster S Suuth N Smith,",08-14-1844,local
"Zanesville 1. Martin HW Nusuin, W Gasaway",08-14-1844,local
"Hillsboro J ‘Tailor, N ‘Tatler.",08-14-1844,local
"Warren, Trumble co-—A Day",08-14-1844,local
Steubenville W > Ferris.,08-14-1844,local
"Newark—W Jenkins, G W Roots",08-14-1844,local
"Clereland J Malvin, J L Watson, R D Kinney.",08-14-1844,local
"Dublin S White, jr.",08-14-1844,local
Xenia W Roberts.,08-14-1844,local
"Logan County--D. D. Day, KK Artis, jr,",08-14-1844,local
Mt. Vernon—O Martin.,08-14-1844,local
Prenton Jefferson co.—J Simpson.,08-14-1844,local
Mt. Pleasant—<Mhjali Sawyer.,08-14-1844,local
"Warren--A Moore, -",08-14-1844,local
"Gallipolis—Il W Vell, J Gee,",08-14-1844,local
"Juckson—N Nukes, T Woodson.",08-14-1844,local
Lebanon—T Benfiurd.,08-14-1844,local
Massillon—J S Thompson.,08-14-1844,local
BarnesvillcmA Harper.,08-14-1844,local
"Oberlin—A Jvunes, ‘lt’ Fisher",08-14-1844,local
Lower Sendusky A Winfield.,08-14-1844,local
"Morgan county—Lloyd E Guy,",08-14-1844,local
Putadém—J Thomas.,08-14-1844,local
"Terrchaute la—E, Roy,",08-14-1844,local
"Lafayette li.— S B Webster, +",08-14-1844,local
"Granville O, ‘I!’ Wa'ker.",08-14-1844,local
Mudison la.—A Duncan.,08-14-1844,local
"Indianopolis, Ia. 3 G Bretton.",08-14-1844,local
"Detroit, Mich--R Banks, WC Monroe.",08-14-1844,local
Piketon—-W Evans.,08-14-1844,local
"Richmond, Ross co. C Oston,",08-14-1844,local
"Sharonville-—D Lucus, C Sintth, Wo Polson",08-14-1844,local
"Miami co, 'T’, Anderson, R. Smith.",08-14-1844,local
"Vanwertco. Hl, Taylor,",08-14-1844,local
Shelby co. Il Gulloway AN Redmon,08-14-1844,local
Champaign co. D. Lancaster.,08-14-1844,local
"Crawford co. A, Allen.",08-14-1844,local
"New Albany, Ind.—G W Carter.",08-14-1844,local
Mercer co. Rev. S Jones,08-14-1844,local
Licking co. F J Bailes,08-14-1844,local
Madison co. C Lewis,08-14-1844,local
"Cincinnati, Rev. C, Satchel, Rev. M. A Clark",08-14-1844,traveling
"wardina, Kev. E, Cumberland, Rev. S. Pox",08-14-1844,traveling
"Logance, Rev. M ‘I. Nusum,",08-14-1844,traveling
Hamilton. Rev. W. C Yancy.,08-14-1844,traveling
Massillon. Rev. J. Thomas.,08-14-1844,traveling
"Mt, Pleasant, Rey. W. Newmon,.",08-14-1844,traveling
"Jackson co, Rev. ‘I. Woodson.",08-14-1844,traveling
"Cincinnati W W Watson, A M Sumner,W HU Yancy.",08-21-1844,local
"Hamilton, Butler co.—H1 Simpson.",08-21-1844,local
"Dayton, O..  T. Jefferson.",08-21-1844,local
"Spring field W. Piles,",08-21-1844,local
"'Urbana--L Adams,",08-21-1844,local
"Chillicothe J Burnett, James Leach.",08-21-1844,local
Circleville H Glasspy. G Stanup.,08-21-1844,local
"Lancaster S Smith N Smith,",08-21-1844,local
"Zanesville 1. Martin Hl Nusum, W Gasaway",08-21-1844,local
"Hillsboro J Tailor, N ‘Tailor.",08-21-1844,local
"Wurren, Trumble co-—A Day",08-21-1844,local
Sleubenville W Ferris.,08-21-1844,local
"Newark—W Jenkins, G W Roots",08-21-1844,local
"Cleveland J Malvin, J L Watson, RD Kenney.",08-21-1844,local
"Dublin S White, jr.",08-21-1844,local
Xenia W = Roberts.,08-21-1844,local
"Logan County--D. D. Day. K Artis, jr.",08-21-1844,local
Mt. Vernon—O Martin.,08-21-1844,local
Trenton Jefferson co.—J Simpson.,08-21-1844,local
Mt. Pl&fsant--Elyjah Sawyer.,08-21-1844,local
Warren—A Moote.,08-21-1844,local
"Gallipolis—I] W Bell, J Gee,",08-21-1844,local
"Jackson—N Nukes, T Woodson.",08-21-1844,local
Lebanon—T Benford.,08-21-1844,local
Massillon—J S Thompson.,08-21-1844,local
Barnesville—A_ Warper.,08-21-1844,local
"Oberlin—A Jones, ‘I’ Fisher",08-21-1844,local
Lower Sandusky A Winfield.,08-21-1844,local
Morgan county—l.loyd E Guy.,08-21-1844,local
Putnum—J Thomas.,08-21-1844,local
"Terrehaute Ta—E, Roy,",08-21-1844,local
"Lafayette Ia.— S B Webster,",08-21-1844,local
Granville O. ‘T’ Walker. 4,08-21-1844,local
Madison Ia.—A Duncan.,08-21-1844,local
"Indianopolis, Ia. J G Bretton.",08-21-1844,local
"Detroit, Mich.--R Banks, W C Monroe.",08-21-1844,local
"Piketon~-W Evaus,",08-21-1844,local
"Richmond, Ross co. C Oston,",08-21-1844,local
"Sharonville-——D Lucus, C Smith, W Poleoa.",08-21-1844,local
"Miami co, ‘I’. Anderson, R. Smith.",08-21-1844,local
"Vanwertco. HW, Taylor.",08-21-1844,local
Shelby co. 11 Gulloway A N Redmon,08-21-1844,local
Champaign co. D. Lancaster.,08-21-1844,local
"Crawford co. A, Allen.",08-21-1844,local
"New Albany, Ind.—G W Carter,",08-21-1844,local
Mercer co. Rev. S Jones,08-21-1844,local
Licking co. F ¥ Bailes,08-21-1844,local
"Madison co, C Lewis",08-21-1844,local
"Cincinnati, Rev. C, Satchel, Rev. M. M-Clark",08-21-1844,traveling
"sardina, Rev. EF, Cumberland, Rev. 8. Pox",08-21-1844,traveling
"Logan ce, Rev. M ‘TT’. Nusum.",08-21-1844,traveling
"Himilton. Rev. W. C Yancy,",08-21-1844,traveling
"Massillon. Rev. J, Thomas,",08-21-1844,traveling
"Mt, Pleasant, Rey. W. Nowmon,",08-21-1844,traveling
"Jackson co, Rev. T. Woodson.",08-21-1844,traveling
"Cincianati W W Watson, A M Sumner,W Hi Yancy.",08-28-1844,local
"Hamilton, Butler co.—Hi Simpson.",08-28-1844,local
"Dayton, O.. T. Jefferson.",08-28-1844,local
"Springficld W. Piles,",08-28-1844,local
"Urbana--L Adams,",08-28-1844,local
"Chillicothe J Burnett, James Leach.",08-28-1844,local
Circleville H Glasspy. G Stanup.,08-28-1844,local
"Lancaster S Smith N Smith,",08-28-1844,local
"Zanesville 1. Martin H Nusum, W Gasaway",08-28-1844,local
"Hillsboro J Tailor, N ‘Hailor.",08-28-1844,local
"Wurren, Trumble co—A Day",08-28-1844,local
Steubenville W Ferris.,08-28-1844,local
"| Vewark——W Jenkins, G W Roots",08-28-1844,local
"Cleveland J Malvin, J L Watson, RD Kenney..",08-28-1844,local
"Dublin S White, jr..",08-28-1844,local
Xenia W Roberts.,08-28-1844,local
"Logan County--D. D. Day. K. Artis, jr.",08-28-1844,local
Mt. Vernon—O Martin.,08-28-1844,local
Trefiton Jefferson co.—J Simpson.,08-28-1844,local
Me. Pleasant——Elijaly Sawyer.,08-28-1844,local
Warren—A Moore:,08-28-1844,local
"\Gallipolis—H W Bell, J Gee,.",08-28-1844,local
"\Jackson—N Nukes, T Woodson.",08-28-1844,local
"Lebanon—T Benford. Lb. 8. Lewis,.",08-28-1844,local
Massillon—J S. Thompson.,08-28-1844,local
Barnesville—A Harper.,08-28-1844,local
"Oberlin—A Jones, . M. Brown.",08-28-1844,local
Lower-Sandusky A Winfield.,08-28-1844,local
Morgan county—).loyd E Guy.,08-28-1844,local
Putnum—J Thomas.,08-28-1844,local
"Terrehaute Ia—E, Roy,",08-28-1844,local
"Lafayette Ia.— 8 B Webster,",08-28-1844,local
Granville O. I’ Walker. 4,08-28-1844,local
"|\Madison Ia.—A Duncan,",08-28-1844,local
"Indianopolis, I2. 1 G Bretton.",08-28-1844,local
"Detroit, Mich.-R Banks, W C Monroe.",08-28-1844,local
"Piketon—-W Evans,",08-28-1844,local
"Richmond, Ross co. C Oston,",08-28-1844,local
"Skaronville~-D Lucus, C Smith, W Polson.",08-28-1844,local
"Miami co. T. Anderson, R. Smith.",08-28-1844,local
"Vanwertco. H, Taylor.",08-28-1844,local
Shelby co. H Galloway A N Redmon,08-28-1844,local
Champaign co. D. Lancaster.,08-28-1844,local
"Crawford co. A, Allen.",08-28-1844,local
"New Albany, Ind.—G W Carter,",08-28-1844,local
Mercer co. Rev. 8. Jones,08-28-1844,local
Licking co. F J Bailes.,08-28-1844,local
Madison co. C Lewis,08-28-1844,local
"Greenfleld.—A. 8. Scot,",08-28-1844,local
"Cincinnati, Rev, €, Satchel, Rev. M. M.Claib",08-28-1844,traveling
"Wardina, Rev. E, Cumberland, Rev. 8. ox",08-28-1844,traveling
"Logan ce, Rev. M TT’. Nusum,",08-28-1844,traveling
Himilton. Rev. W. © Yancy.,08-28-1844,traveling
Massillon. Rev. J. Thomas.,08-28-1844,traveling
Mt. Pleasant. Rev. W. Newmon.,08-28-1844,traveling
"Jackson co, Rev. T. Woodson.",08-28-1844,traveling
"Cincinnati W W Watson, A M Sumner,W UU Yancy.",09-11-1844,local
"Hamilton, Butler co.—Il Simpson,",09-11-1844,local
"‘Dayton, O.. T. Jefferson.",09-11-1844,local
"Spring field W. Piles,",09-11-1844,local
"Urhana--L Adams,",09-11-1844,local
"Chillicothe J Burnett, James Leach.",09-11-1844,local
Circleville U Glasspy. G Stanup.,09-11-1844,local
"Lancaster S Smith’ N Smith,",09-11-1844,local
"Zanesville 1, Martin H Nusum, W Gasaway",09-11-1844,local
"Hillsboro J Tailor, N ‘Yailor.",09-11-1844,local
"Wurren, Trumble co-—A Day",09-11-1844,local
Steubenville W Ferris.,09-11-1844,local
"Vewark—W Jenkins, G@ W Roots",09-11-1844,local
"Cleveland J Malvin, J L Watson, R D Kenney.",09-11-1844,local
"Dublin S White, jr.",09-11-1844,local
Xenia W = Roberts.,09-11-1844,local
"Logan County--D. D. Day, K Artis, jr.",09-11-1844,local
Mt. Vernon—O Martin.,09-11-1844,local
Penton Jefferson co.—J Simpson.,09-11-1844,local
Mt. Pleasant--Eljjah Sawyer.,09-11-1844,local
Warren—A Moore.,09-11-1844,local
"\Gallipolis—Il W Bell, J Gee,",09-11-1844,local
"Jackson—N Nukes, T Woodson.",09-11-1844,local
Lebanon—T Benford. Db. S. Lewis.,09-11-1844,local
Massillon—J S Thompson.,09-11-1844,local
Barnesville—A Uarper.,09-11-1844,local
"Oberlin—A Jones, J. M. Brown.",09-11-1844,local
Lower Sandusky A Winfield.,09-11-1844,local
Morgan county—Lloyd E Guy.,09-11-1844,local
Putnum—J Thomas.,09-11-1844,local
"Terrehaute Ia—E, Roy,",09-11-1844,local
Lafayette luu—S B Webstery,09-11-1844,local
Granville O. ‘T Walker.,09-11-1844,local
Mudison Ia.—A Duncan.,09-11-1844,local
"Indianopolis, Ia. J G Bretton.",09-11-1844,local
"Detroit, Mich.--R Banks, W C Monroe.",09-11-1844,local
"Piketon—-W.- Evans,",09-11-1844,local
"Richmond, Ross co. C Oston,",09-11-1844,local
"Sharonville--D Lucus, © Smith, W Poleon.",09-11-1844,local
"Miami co. 'T. Anderson, R. Smith.",09-11-1844,local
"Vanwertco. H, Taylor.",09-11-1844,local
Shelby co. 1 Galloway A N Redmon,09-11-1844,local
Champaign co. D. Lancaster.,09-11-1844,local
"Crawford co. A, Allen.",09-11-1844,local
"New Albany, Ind.—G W Carter.",09-11-1844,local
Mercer co. Rev. S Jones,09-11-1844,local
| Licking co. F J Bailes,09-11-1844,local
| Madison co. C Lewis,09-11-1844,local
|Greenfield.—A. S. Scot.,09-11-1844,local
"Cincinnati, Rev. C. Satchel, Rev. M.M Clark",09-11-1844,traveling
"wardina, Rev. FE. Cumberland, Rev. 8. Lox.",09-11-1844,traveling
"Logan ce, Rev. M T. Nusum,",09-11-1844,traveling
Hamilton. Rev. W. C Yancy.,09-11-1844,traveling
Massillon. Rev. J. Thomas.,09-11-1844,traveling
"Mt, Pleasant. Rev. W. Newmon.",09-11-1844,traveling
"Jackson co, Rev. TT. Woodson.",09-11-1844,traveling
"Cincinnati W W Watson, A M Sumrer,W oH Yaney.",09-25-1844,local
"Hemilton, Butler co.— Ul Simpson.",09-25-1844,local
"Dayton, O.. TV. Jetlersen.",09-25-1844,local
"Spring field W. Piles,",09-25-1844,local
"\Urbana--L Acams,",09-25-1844,local
"Chillicothe JS Burnett, James Leach.",09-25-1844,local
Circleville UGlasspy. G Stunup.,09-25-1844,local
"Lancaster 3S Smiuh N Smuh,",09-25-1844,local
"Zanesville 1. Martin tPNusum, W Gasaway",09-25-1844,local
"Hillsboro JS ‘Tailor, N ‘Tailor.",09-25-1844,local
"|Warren, Trumble co-—A Day",09-25-1844,local
iNlenbenrille WW rerris.,09-25-1844,local
"\Vewark—W Jenkins, G W Roots",09-25-1844,local
"Cleveland J Bell J L Watson, R Robertson,",09-25-1844,local
"\Dublin S White, jr.",09-25-1844,local
Yenia W > Roberts.,09-25-1844,local
"Logan County-- D. D. Day. K Artie, jr.",09-25-1844,local
Mt. Vernon--O Martin.,09-25-1844,local
| Urentg Jefferson co.—J Simpson.,09-25-1844,local
j Me. leusant--Elijah Sawyer.,09-25-1844,local
Wurren—-A Moore.,09-25-1844,local
"Gallipolis—Il W Bell, J Gee,",09-25-1844,local
"Jackson—N Nukes, T Woodson.",09-25-1844,local
"|Rebanon—T Benford. Ib. 8. Lewis,",09-25-1844,local
"Massillon—J 3 ""Thompson.",09-25-1844,local
\BarnesvillemA Harper.,09-25-1844,local
"Oberlin—A Jones, J. M. Brown.",09-25-1844,local
Lower Sandusky A Winfield.,09-25-1844,local
Morgan county—V.loyd E Guy,09-25-1844,local
"Putnum—J ,Vhomas.",09-25-1844,local
"Terrehaute Iu—E. Ruy,",09-25-1844,local
"Lafayette Iu.— 3S B Webster,",09-25-1844,local
Granville O. ‘Ty Walker.,09-25-1844,local
Madison Ia.—A Duncan.,09-25-1844,local
"Indianopolis, Ia. 3° G Bretton.",09-25-1844,local
"Detroit, Mich —-R Banks, WC Monree.",09-25-1844,local
"Piketon-—-W Evans,",09-25-1844,local
"Richmond, Ross co. C Oston,",09-25-1844,local
"Sharonville--D Lucus, © Smith, W Polson.",09-25-1844,local
"Miami ca. I’, Anderson, R. Smith.",09-25-1844,local
"Vanwertco. Uf, Taylor.",09-25-1844,local
Shelby co. H Guiloway A N Redmon,09-25-1844,local
Champaign co. D. Lancaster.,09-25-1844,local
"Crawford co, A, Allen.",09-25-1844,local
"New Albany, Ind.—G W Carter.",09-25-1844,local
Mercer co. Rev. S Jones,09-25-1844,local
Licking co. F J Bailes,09-25-1844,local
"Madison co, © Lewis",09-25-1844,local
‘Greenfield.—A. S. Scot.,09-25-1844,local
"\Liverpool, Eny.—tl. E. R. Lewis.",09-25-1844,local
"'Lirerpool, England—E R Lewis.",09-25-1844,local
"Cincinnati, Rev. C. Satchel, Rev. M. M.Clark",09-25-1844,traveling
"vardina, Rev, E, Cumberland, Rev. S. Lox.",09-25-1844,traveling
"Loganco, Rev. M 'T. Nusum.",09-25-1844,traveling
"Humilton. Rev. W. C Yancy,",09-25-1844,traveling
Massillon. Rev. J. Thomas.,09-25-1844,traveling
"Mi, Pleasant, Rev. W.. Newmon.",09-25-1844,traveling
Jackson co. Rev. T. Woodson. -,09-25-1844,traveling
"Cincinnati W W Watson, A M Sumner,W oT Yaney.",10-02-1844,local
"Hamilton, Butler co.—i1 Simpson.",10-02-1844,local
"Duyton, O.. TT. Jefferson.",10-02-1844,local
"Springfield W. Piles,",10-02-1844,local
"Urbauna--L Adams,",10-02-1844,local
"Chillicothe J Burnett, James Leach.",10-02-1844,local
‘ireleville U Glasspy. G Stanup.,10-02-1844,local
"Lancaster, S Smith N@Smith,",10-02-1844,local
"Zanesville 1. Martin UU Nusum, W Gasaway",10-02-1844,local
"Hillsboro J Tailor, N ‘Tailor.",10-02-1844,local
"Warren, Trumble co--A Day",10-02-1844,local
Nleubenville W = rerris.,10-02-1844,local
"Newark—W Jenkins, G W Roots",10-02-1844,local
"Cleveland J Bell J L Watsun, R Roberison.",10-02-1844,local
"Dublin S White, jr.",10-02-1844,local
Xenia W Roberts.,10-02-1844,local
"Logan County--D. D. Day. K Artis, jr,",10-02-1844,local
"Mr, gernrn--O Martin.",10-02-1844,local
Trenton Jefferson co.—J Simpson.,10-02-1844,local
Mt. Pleasant--ElijalSawy er.,10-02-1844,local
Warren—-A Moore.,10-02-1844,local
"Gallipolis—li W Bell, J Gee,",10-02-1844,local
"Jackson—N Nukes, T Woodson,",10-02-1844,local
Lebanon—'T Benfird. I. 8. Lewia.,10-02-1844,local
Meaxsillon—J 3 ‘Thompson.,10-02-1844,local
"Semmerton—A, Le Iarper,",10-02-1844,local
"Oberlin—A Jones, J. M. Brown.",10-02-1844,local
Lower Sandusky A Winfield.,10-02-1844,local
Morgan county—\luyd E Guy,10-02-1844,local
Putnum—J ‘Vhomas.,10-02-1844,local
"Terrchaute Iua—E, Roy,",10-02-1844,local
"Lufayette la.—3S B Webster, 4",10-02-1844,local
Granville O. ‘Tl’ Wa'ker.,10-02-1844,local
Madison la.—A Duncan.,10-02-1844,local
"ludianopolis, Ia. 3 G Bretton.",10-02-1844,local
"Detroit, Mich --R Banks, WC Monroe.",10-02-1844,local
"Piketon--W Evans,",10-02-1844,local
"Richmond, Ross co. C Oston,",10-02-1844,local
"Sharonville—-D Lucus, C Smith, W Polson.",10-02-1844,local
"Miami ce, ‘Il’. Anderson, R. Smith.",10-02-1844,local
"Vamrertco. UW, Taylor.",10-02-1844,local
Shelby co. 11 Galloway A N Redmon,10-02-1844,local
Champaign co D. Lancaster.,10-02-1844,local
"Cratcford co, A, Allen.",10-02-1844,local
"Vew Albany, Ind.—G W Carter.",10-02-1844,local
Mercer co. Rev. 8 Jones,10-02-1844,local
Licking co. F J Bailes,10-02-1844,local
Madison co. © Lewis,10-02-1844,local
"Greenfic lid.—A. .J Sent,",10-02-1844,local
"Liverpool, Buy.—ll E.R Lewis.",10-02-1844,local
"Literpool, Englund—E R Lewis.",10-02-1844,local
"Cincinnati, Rev. C, Satchel, Rev. M. M Clark",10-02-1844,traveling
"sardina, Rev, E, Cumberland, Rev. S. Pox",10-02-1844,traveling
"hogan co, Rev. M ‘I. Nusum,",10-02-1844,traveling
"Hemilton, Rev. W. C Yancy.",10-02-1844,traveling
"Massillon, Rev. J. ‘Thomas.",10-02-1844,traveling
"M', Pleasant, Kev. W. Newmon.",10-02-1844,traveling
Jackson co; Rev. ‘I’. Woodson.,10-02-1844,traveling
"‘Cincinnati. W W Watson, A M Sumoer,W tl Yanev.",10-09-1844,local
"' Hamilton, Butler co.—H Simpson.",10-09-1844,local
"‘Dayton, O.. T. Jefferson.",10-09-1844,local
"Springfield W. Piles,",10-09-1844,local
"\Urbana--L Adams,",10-09-1844,local
"Chillicothe J Burnett,,James Leach.",10-09-1844,local
Circlerite UH Glasspy. G Stanup.,10-09-1844,local
"‘Lancaster’ S&S Smith N Smith,",10-09-1844,local
"‘Zanceville 1 Martin H Nusum, W Gaeaway",10-09-1844,local
"‘Hillsboro J ‘Tailor, N ‘laslor.",10-09-1844,local
"Warren, Trumble co-~A Day",10-09-1844,local
Steubenville W ferris.,10-09-1844,local
"Newark—W Jenkins, G W Roots",10-09-1844,local
"‘Clercland J Bell J L Watson, R Robertsou.",10-09-1844,local
"\Dublin S White, jr.",10-09-1844,local
‘Xenia W_ Roberts.,10-09-1844,local
"‘Logi County-- D. D. Day. K Artis, jr.",10-09-1844,local
Mr. Vernon—O Magsifn.,10-09-1844,local
‘Trenton Jefferson co.—J Simpson.,10-09-1844,local
Met. Pleasant--Elijah Sawyer.,10-09-1844,local
‘Wurren--A Moore.,10-09-1844,local
"Gallipolis—Il W Bell, J Gee,",10-09-1844,local
"Jackson—N Nukes, T Woodson.",10-09-1844,local
Lebanon~T Benford. I. 8. Lewis.,10-09-1844,local
'Mussillon—J 3 ‘Thompson.,10-09-1844,local
Nummnérton—A. Le Harper.,10-09-1844,local
"‘Oberlin—A Jones, J. M, Brown,",10-09-1844,local
‘Lower Sdndusky A Winfield.,10-09-1844,local
Morgan county—\ioyd E Guy,10-09-1844,local
Putnum—J Thomas.,10-09-1844,local
"Terrchaute Ia—E_ Roy, 4",10-09-1844,local
Lafayette la.— 8 B Webster.,10-09-1844,local
