LOCAL AGENTS,Date,Agent
"Springfield. Rev. T. Roberts, Af. BM: Clarke",03-27-1844,traveling
aeaceville Rev. Geo. Coleman.,03-27-1844,traveling
"W“ardina, Rev. E, Cumberland pi .",03-27-1844,traveling
Xenia. Rev. D. Winslow. + Rev. 8. Vox.,03-27-1844,traveling
"Logan ceo, Rev. M 'T’, Nusum,",03-27-1844,traveling
"Hunilton. Rev. W. C Yancy,",03-27-1844,traveling
Massillon. Rev. J. ‘Thomas:,03-27-1844,traveling
"Columbus. Rev. W, Shelton, Rev. T, Lawrence,",03-27-1844,traveling
"Mt, Pleasant. Rey. W. Newmon.",03-27-1844,traveling
"Jackson co, Rev. T. Woodson.",03-27-1844,traveling
"Butler co. 3. U. Yancy, 8. Jones,",03-27-1844,traveling
"Cincinnati—\WV W Watson, A M Sumner,W Hf Yancy,",04-17-1844,local
"Hamilton, Butler co—H Simpson.",04-17-1844,local
"Dayton, O..—T. Jefferson.",04-17-1844,local
"Spring field—-W, Piles, R. Piles.",04-17-1844,local
"Urbanu--L, Adams, A Kane.",04-17-1844,local
"Chillteothe—K W Chanceller, James Leach,",04-17-1844,local
"U Moody, C H Langston, J Burnett.",04-17-1844,local
Circleville—W_ Scvtt. 7 .,04-17-1844,local
"Lancuster—S Smith N Smith, Rev. I. Martin",04-17-1844,local
"Zuncsville—B Messer, 4 Nusum, W Gasaway",04-17-1844,local
"| Millshoro—J ‘Tuilor, N ‘Tailor.",04-17-1844,local
Steubenville—W Ferris.,04-17-1844,local
"| Newark—W Scnkins, H Robinson,",04-17-1844,local
"Cleveland—J Malvin, J L Watsos, R D Kenney.",04-17-1844,local
"“Dublin—S White, jr.",04-17-1844,local
"Xenia--W Roberts,",04-17-1844,local
"Logan County--K Artis, sen, K Artis, jr.",04-17-1844,local
Mt. Vernon--O Martin.,04-17-1844,local
Trenton Jefferson co.—J Simpson.,04-17-1844,local
"Mt. PleasanteElijah Sawyer,",04-17-1844,local
Wurren—AeMvore.,04-17-1844,local
"Gallipolis—Il Bell, J Gee,",04-17-1844,local
"Jackson—N Nukes, T Woodson.",04-17-1844,local
Lebanon—T’ Benford.,04-17-1844,local
Massillon—J 3 Thompson.,04-17-1844,local
Barnesville—A Harper.,04-17-1844,local
"Oberlin—A Jones, W P Newman,",04-17-1844,local
Lower Sundusky—A Winfield. a,04-17-1844,local
Lockburue--E C 'I'yner.,04-17-1844,local
"Morgan county—\loyd E Guy,",04-17-1844,local
Putnum—J ‘Vhomas.,04-17-1844,local
"Terrchaute Ila—E, Roy,",04-17-1844,local
Lafayetie la —S B Wébster.,04-17-1844,local
Granville O. ‘T’ Walker.,04-17-1844,local
"New York City~C B Ray, T 8 Wright.",04-17-1844,local
"Troy, N Y—H Hi Garnett.",04-17-1844,local
"Utica, N Y--T Woodson, J Fontain,",04-17-1844,local
"|Geneva, N Y—J W Duffin.",04-17-1844,local
Rochester N Y--J Sharp.,04-17-1844,local
Batavia N YW Juhneon.,04-17-1844,local
| Brockport N Y—A Peck.,04-17-1844,local
"Lockport, N Y--A Outley.",04-17-1844,local
"Buffalo, N YW W Brown, A II Francis.",04-17-1844,local
"Boston, Mass.--J T Wilton. ‘",04-17-1844,local
"Pittsburgh, Pa.—J B Vashon.",04-17-1844,local
Madison la.—A Duncan.,04-17-1844,local
"Indianopolis, Ta.—J G Bretton.",04-17-1844,local
"Detroit, Mich.--R Banks, W C Monroe.",04-17-1844,local
"Piketon—-W Evans, '",04-17-1844,local
"Richmond, Ross co.—C Oston,",04-17-1844,local
"Sharonville--D Lucus, C Smith, W Polson.",04-17-1844,local
"Miami co, ‘I, Anderson, R. Smith.",04-17-1844,local
"Vanieertco. Ul, Taylor, -",04-17-1844,local
"Shelby co. J, Robertson.",04-17-1844,local
"Logan co. D. D. Day,",04-17-1844,local
Champaign co TD. Lancaster.,04-17-1844,local
"Crawford co. A, Allen. .",04-17-1844,local
"| Cincinnati, Rev. C, Satchel, Rev. M. M Clark.",04-17-1844,traveling
‘Springfield. Rev. T. Roberte.,04-17-1844,traveling
"Zanesville, Rev. Geo. Coleman.",04-17-1844,traveling
"Wardina, Rev. E, Cumberland, Rev. S. Pox.",04-17-1844,traveling
Xenia. Rev. D Winslow.,04-17-1844,traveling
"Logan ce, Rev. M_ T.. Nusum,",04-17-1844,traveling
"Hunilton. Rev. W. C Yancy,",04-17-1844,traveling
Massillon. Rev. J. Thomas.,04-17-1844,traveling
"Columbus. Rev. W, Shelton, Rev. T. Lawrenee.",04-17-1844,traveling
"Mt, Pleasant. Rev. W. Newmon.",04-17-1844,traveling
"Jackson co, Rev. 'T. Woodson.",04-17-1844,traveling
"Butler co. J. . Yancy, S. Jones.",04-17-1844,traveling
"Cincinnati—W W Watson, A M Sumner,“WU Yancy.",04-24-1844,local
"Hamilton, Butler co—H Simpson.",04-24-1844,local
"Dayton, O..—T. Jefferson. ;",04-24-1844,local
"Spring field—W, Piles, R. Piles,",04-24-1844,local
"Urbana--L Adams, A Kane.",04-24-1844,local
"Chillicothe—K W Chanceller, James Leach,",04-24-1844,local
"U Moody, C H Langston, J Burnett.",04-24-1844,local
Circlerille—W Scott. ;,04-24-1844,local
"Lancaster--S Smith N Smith, Rev. I. Martin",04-24-1844,local
